"Plot Title: Temp1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022943, SEN S/N: 21022943)","Intensity, lum/ft² (LGR S/N: 21022943, SEN S/N: 21022943)","Coupler Attached (LGR S/N: 21022943)","Coupler Detached (LGR S/N: 21022943)","End Of File (LGR S/N: 21022943)"
420,11/26/2021 02:12:21 PM,33.805,0.0,,,
421,11/26/2021 04:12:21 PM,34.786,0.0,,,
422,11/26/2021 06:12:21 PM,35.758,0.0,,,
423,11/26/2021 08:12:21 PM,36.145,0.0,,,
424,11/26/2021 10:12:21 PM,35.951,0.0,,,
425,11/27/2021 12:12:21 AM,35.370,0.0,,,
426,11/27/2021 02:12:21 AM,34.981,0.0,,,
427,11/27/2021 04:12:21 AM,34.786,0.0,,,
428,11/27/2021 06:12:21 AM,34.786,0.0,,,
429,11/27/2021 08:12:21 AM,34.981,0.0,,,
430,11/27/2021 10:12:21 AM,34.981,0.0,,,
431,11/27/2021 12:12:21 PM,35.370,0.0,,,
432,11/27/2021 02:12:21 PM,36.338,0.0,,,
433,11/27/2021 04:12:21 PM,37.488,0.0,,,
434,11/27/2021 06:12:21 PM,38.440,0.0,,,
435,11/27/2021 08:12:21 PM,38.629,0.0,,,
436,11/27/2021 10:12:21 PM,38.440,0.0,,,
437,11/28/2021 12:12:21 AM,37.870,0.0,,,
438,11/28/2021 02:12:21 AM,37.107,0.0,,,
439,11/28/2021 04:12:21 AM,36.338,0.0,,,
440,11/28/2021 06:12:21 AM,35.951,0.0,,,
441,11/28/2021 08:12:21 AM,35.758,0.0,,,
442,11/28/2021 10:12:21 AM,35.564,0.0,,,
443,11/28/2021 12:12:21 PM,35.370,0.0,,,
444,11/28/2021 02:12:21 PM,35.951,0.0,,,
